Sibling Pair ID,Sister Name,Brother Name,Sister's Demand,Rakhi Type,Rakhi Tying Speed (sec),Brother's Gift,Sister's Emotion,Brother's Reaction,Celebration Location,Sweet Shared,Year
SB-1001,Carolyn,John,Fitness Tracker,Traditional Rakhi,47.93,Bluetooth Speaker,Playful,Shocked,Online Video Call,Barfi,2022
SB-1002,Jessica,Cameron,Designer Handbag,Silver Rakhi,22.6,Bluetooth Speaker,Angry,Nervous,Mall,Peda,2025
SB-1003,Miranda,Jason,Gold Ring,Lumba Rakhi,19.14,Cash,Happy,Nervous,Online Video Call,Ladoo,2022
SB-1004,Julie,Daniel,Perfume,Bracelet Rakhi,55.77,Sweets Box,Happy,Nervous,Cafe,Barfi,2023
SB-1005,Andrea,Allen,Headphones,Cartoon Rakhi,10.43,Backpack,Happy,Excited,Office,Barfi,2022
SB-1006,Linda,Christopher,Headphones,Lumba Rakhi,21.3,Teddy Bear,Joyful,Nervous,College Hostel,Jalebi,2024
SB-1007,Kelly,Ryan,Books,Traditional Rakhi,28.35,Backpack,Angry,Shocked,College Hostel,Rasgulla,2025
SB-1008,Christine,Keith,Makeup Kit,Traditional Rakhi,28.58,Cash,Angry,Excited,Office,Barfi,2023
SB-1009,Elizabeth,Tyler,Books,Lumba Rakhi,57.25,Cash,Angry,Shocked,Home,Rasgulla,2025
SB-1010,Danielle,Roger,Gold Ring,Eco-friendly Rakhi,47.92,Sweets Box,Angry,Shocked,Home,Kaju Katli,2024
SB-1011,Denise,Aaron,Trip to Goa,Lumba Rakhi,22.49,Sweets Box,Sentimental,Grateful,College Hostel,Barfi,2025
SB-1012,Sheryl,Michael,Trip to Goa,Eco-friendly Rakhi,54.02,Wrist Watch,Sentimental,Shocked,College Hostel,Ladoo,2022
SB-1013,Valerie,William,Gold Ring,Zardosi Rakhi,22.77,Backpack,Joyful,Surprised,Home,Kaju Katli,2024
SB-1014,Amber,Craig,Smartphone,Kundan Rakhi,29.38,Sweets Box,Angry,Nervous,Office,Rasgulla,2022
SB-1015,Anna,Timothy,Smartphone,Zardosi Rakhi,31.97,Sneakers,Excited,Grateful,College Hostel,Peda,2022
SB-1016,Amanda,James,Gold Ring,Cartoon Rakhi,59.78,Wrist Watch,Excited,Grateful,Online Video Call,Jalebi,2022
SB-1017,Jenny,Chad,Books,Silver Rakhi,23.74,Wrist Watch,Angry,Nervous,Mall,Barfi,2025
SB-1018,Shannon,Adam,Designer Handbag,Silver Rakhi,17.6,Wrist Watch,Sentimental,Happy,College Hostel,Jalebi,2022
SB-1019,Nicole,Bradley,Shopping Voucher,Lumba Rakhi,15.43,Sweets Box,Happy,Happy,Office,Rasgulla,2022
SB-1020,Judy,Brent,Trip to Goa,Zardosi Rakhi,44.43,Backpack,Excited,Shocked,Mall,Ladoo,2025
SB-1021,Michele,Christopher,Fitness Tracker,Lumba Rakhi,31.15,Sneakers,Sentimental,Shocked,Mall,Barfi,2022
SB-1022,Pamela,Daryl,Designer Handbag,Zardosi Rakhi,32.97,Gift Card,Excited,Excited,College Hostel,Ladoo,2023
SB-1023,Christine,Lonnie,Books,Cartoon Rakhi,13.96,Chocolate Hamper,Playful,Happy,Mall,Gulab Jamun,2024
SB-1024,Angela,Samuel,Perfume,Eco-friendly Rakhi,7.08,Wrist Watch,Excited,Excited,Mall,Ladoo,2023
SB-1025,Jennifer,Billy,Headphones,Kundan Rakhi,31.3,Custom T-shirt,Joyful,Excited,Mall,Jalebi,2023
SB-1026,Laurie,Michael,Gold Ring,Silver Rakhi,49.64,Teddy Bear,Playful,Nervous,Mall,Barfi,2025
SB-1027,Olivia,Phillip,Trip to Goa,Zardosi Rakhi,32.15,Bluetooth Speaker,Excited,Nervous,Online Video Call,Barfi,2022
SB-1028,Jennifer,Raymond,Gold Ring,Lumba Rakhi,42.02,Sneakers,Joyful,Happy,Office,Peda,2023
SB-1029,Leslie,Joshua,Trip to Goa,Traditional Rakhi,50.71,Cash,Sentimental,Happy,Office,Jalebi,2025
SB-1030,Lindsay,Michael,Gold Ring,Silver Rakhi,37.56,Custom T-shirt,Happy,Happy,Office,Barfi,2022
SB-1031,Brittany,Joseph,Fitness Tracker,Silver Rakhi,58.98,Cash,Joyful,Shocked,Online Video Call,Barfi,2024
SB-1032,Shelby,Jonathan,Perfume,Traditional Rakhi,24.38,Sweets Box,Happy,Nervous,Online Video Call,Ladoo,2025
SB-1033,Lindsey,Ryan,Trip to Goa,Kundan Rakhi,7.11,Chocolate Hamper,Happy,Shocked,Online Video Call,Peda,2022
SB-1034,Christy,Bradley,Trip to Goa,Bracelet Rakhi,25.42,Chocolate Hamper,Excited,Excited,College Hostel,Peda,2024
SB-1035,Sharon,James,Gold Ring,Kundan Rakhi,41.82,Cash,Excited,Nervous,Home,Peda,2025
SB-1036,Katherine,Connor,Perfume,Eco-friendly Rakhi,22.03,Bluetooth Speaker,Joyful,Nervous,College Hostel,Ladoo,2022
SB-1037,Kara,Gary,Shopping Voucher,Cartoon Rakhi,20.41,Backpack,Playful,Shocked,Home,Kaju Katli,2022
SB-1038,Ana,Alejandro,Smartphone,Silver Rakhi,12.49,Backpack,Happy,Nervous,Office,Gulab Jamun,2022
SB-1039,Kristen,Kevin,Designer Handbag,Silver Rakhi,54.06,Chocolate Hamper,Playful,Excited,College Hostel,Ladoo,2025
SB-1040,Jennifer,Jeremy,Makeup Kit,Cartoon Rakhi,47.23,Teddy Bear,Angry,Nervous,College Hostel,Rasgulla,2024
SB-1041,Sheila,James,Fitness Tracker,Silver Rakhi,33.24,Gift Card,Sentimental,Happy,Home,Gulab Jamun,2025
SB-1042,Melanie,Jack,Shopping Voucher,Traditional Rakhi,27.81,Custom T-shirt,Sentimental,Surprised,Office,Kaju Katli,2022
SB-1043,Amy,Anthony,Makeup Kit,Silver Rakhi,35.54,Bluetooth Speaker,Sentimental,Grateful,Office,Barfi,2023
SB-1044,Meghan,Sean,Smartphone,Lumba Rakhi,21.76,Wrist Watch,Angry,Nervous,Online Video Call,Ladoo,2025
SB-1045,Tara,Jeffrey,Smartphone,Traditional Rakhi,50.69,Wrist Watch,Angry,Shocked,College Hostel,Rasgulla,2024
SB-1046,Jennifer,Gordon,Headphones,Bracelet Rakhi,44.14,Backpack,Joyful,Excited,Mall,Ladoo,2025
SB-1047,Michaela,Manuel,Smartphone,Eco-friendly Rakhi,13.71,Wrist Watch,Sentimental,Grateful,College Hostel,Gulab Jamun,2022
SB-1048,Lindsey,Cory,Perfume,Bracelet Rakhi,24.27,Cash,Happy,Surprised,Home,Peda,2023
SB-1049,Dawn,John,Smartphone,Kundan Rakhi,23.67,Wrist Watch,Playful,Excited,Office,Jalebi,2023
SB-1050,April,Tony,Perfume,Cartoon Rakhi,44.73,Bluetooth Speaker,Happy,Nervous,Home,Jalebi,2024
SB-1051,Morgan,Joshua,Makeup Kit,Zardosi Rakhi,11.73,Sweets Box,Sentimental,Excited,College Hostel,Kaju Katli,2023
SB-1052,Theresa,Bradley,Shopping Voucher,Zardosi Rakhi,31.26,Sweets Box,Sentimental,Grateful,Cafe,Peda,2023
SB-1053,Joy,Michael,Trip to Goa,Cartoon Rakhi,31.64,Custom T-shirt,Joyful,Nervous,Home,Ladoo,2022
SB-1054,Melissa,Kevin,Makeup Kit,Traditional Rakhi,53.26,Custom T-shirt,Happy,Shocked,Cafe,Barfi,2024
SB-1055,Kristin,Ricky,Makeup Kit,Eco-friendly Rakhi,43.38,Bluetooth Speaker,Playful,Excited,Cafe,Rasgulla,2022
SB-1056,Megan,Joseph,Headphones,Silver Rakhi,13.31,Bluetooth Speaker,Playful,Nervous,Mall,Jalebi,2022
SB-1057,Alexandra,James,Makeup Kit,Silver Rakhi,26.76,Gift Card,Excited,Nervous,Cafe,Ladoo,2025
SB-1058,Amy,Joshua,Trip to Goa,Zardosi Rakhi,18.03,Bluetooth Speaker,Sentimental,Happy,Office,Ladoo,2024
SB-1059,Theresa,Jordan,Headphones,Bracelet Rakhi,53.92,Wrist Watch,Playful,Excited,College Hostel,Kaju Katli,2022
SB-1060,Stephanie,Alex,Gold Ring,Eco-friendly Rakhi,28.03,Cash,Excited,Nervous,Cafe,Ladoo,2023
SB-1061,Christina,Paul,Fitness Tracker,Kundan Rakhi,28.64,Wrist Watch,Sentimental,Shocked,Cafe,Peda,2024
SB-1062,Monica,Christopher,Shopping Voucher,Lumba Rakhi,17.64,Cash,Happy,Surprised,Office,Jalebi,2025
SB-1063,Deanna,Dennis,Perfume,Traditional Rakhi,33.14,Gift Card,Angry,Shocked,Office,Gulab Jamun,2023
SB-1064,Traci,Chad,Headphones,Cartoon Rakhi,36.9,Gift Card,Excited,Shocked,Office,Gulab Jamun,2025
SB-1065,Kimberly,Ryan,Shopping Voucher,Zardosi Rakhi,16.54,Teddy Bear,Angry,Grateful,Mall,Kaju Katli,2024
SB-1066,Regina,Brandon,Headphones,Eco-friendly Rakhi,11.73,Custom T-shirt,Joyful,Grateful,Online Video Call,Ladoo,2023
SB-1067,Karen,Carlos,Smartphone,Bracelet Rakhi,32.92,Bluetooth Speaker,Angry,Nervous,Office,Jalebi,2025
SB-1068,Monica,Donald,Fitness Tracker,Zardosi Rakhi,42.24,Wrist Watch,Joyful,Grateful,Cafe,Ladoo,2022
SB-1069,Ashley,William,Makeup Kit,Lumba Rakhi,26.88,Backpack,Playful,Shocked,College Hostel,Ladoo,2022
SB-1070,Donna,Jesus,Headphones,Zardosi Rakhi,54.57,Custom T-shirt,Sentimental,Nervous,Cafe,Ladoo,2023
SB-1071,Jennifer,Eric,Gold Ring,Cartoon Rakhi,51.69,Chocolate Hamper,Sentimental,Excited,Online Video Call,Ladoo,2022
SB-1072,Lori,James,Perfume,Kundan Rakhi,18.9,Backpack,Excited,Shocked,Cafe,Peda,2022
SB-1073,Tanya,Brandon,Smartphone,Cartoon Rakhi,22.72,Teddy Bear,Playful,Nervous,Online Video Call,Ladoo,2023
SB-1074,Lorraine,Stephen,Trip to Goa,Traditional Rakhi,15.34,Chocolate Hamper,Playful,Nervous,Office,Peda,2025
SB-1075,Katrina,David,Trip to Goa,Traditional Rakhi,56.2,Gift Card,Happy,Grateful,Home,Kaju Katli,2023
SB-1076,Carolyn,Gerald,Shopping Voucher,Eco-friendly Rakhi,38.37,Sweets Box,Happy,Happy,Online Video Call,Rasgulla,2022
SB-1077,Karen,Joseph,Gold Ring,Bracelet Rakhi,56.68,Sweets Box,Angry,Surprised,Cafe,Ladoo,2022
SB-1078,Lindsey,Michael,Smartphone,Silver Rakhi,18.43,Backpack,Joyful,Nervous,Home,Gulab Jamun,2022
SB-1079,Samantha,Gerald,Perfume,Kundan Rakhi,45.7,Wrist Watch,Joyful,Nervous,Office,Ladoo,2023
SB-1080,Sarah,Kenneth,Fitness Tracker,Zardosi Rakhi,23.62,Custom T-shirt,Angry,Surprised,College Hostel,Kaju Katli,2023
SB-1081,Karen,Martin,Designer Handbag,Cartoon Rakhi,58.87,Bluetooth Speaker,Joyful,Shocked,Office,Gulab Jamun,2022
SB-1082,Melissa,David,Gold Ring,Zardosi Rakhi,49.82,Sweets Box,Playful,Happy,Office,Barfi,2025
SB-1083,Christine,Mason,Designer Handbag,Bracelet Rakhi,21.07,Teddy Bear,Happy,Excited,Cafe,Rasgulla,2022
SB-1084,Stacy,Paul,Gold Ring,Kundan Rakhi,46.94,Bluetooth Speaker,Joyful,Nervous,Home,Kaju Katli,2023
SB-1085,Valerie,Kevin,Books,Traditional Rakhi,18.58,Wrist Watch,Joyful,Happy,Mall,Gulab Jamun,2025
